MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
31.54	21.32783
31.56	27.50798
31.58	36.20408
31.6	44.63482
31.62	47.12333
31.64	44.75858
31.66	43.8528
31.68	45.54187
31.7	46.08127
31.72	42.01868
31.74	36.42967
31.76	33.72068
31.78	35.17665
31.8	40.67153
31.82	48.19702
31.84	51.81675
31.86	49.2594
31.88	45.78638
31.9	46.01602
31.92	51.45248
31.94	63.8802
31.96	86.6925
31.98	124.9005
32	183.447
32.02	257.22975
32.04	308.691
32.06	297.22425
32.08	253.863
32.1	216.222
32.12	183.70125
32.14	146.5965
32.16	107.7345
32.18	77.286
32.2	57.14347
32.22	44.80013
32.24	37.60462
32.26	33.76492
32.28	32.34322
32.3	33.4203
32.32	37.68773
32.34	46.76145
32.36	63.1647
32.38	87.93975
32.4	115.10925
32.42	123.88575
32.44	103.93575
32.46	75.444
32.48	53.30025
32.5	39.22845
32.52	31.37857
32.54	27.46883
32.56	26.16338
32.58	26.96272
32.6	30.12638
32.62	36.40973
32.64	46.5996
32.66	60.0372
32.68	71.61128
32.7	78.1635
32.72	81.882
32.74	86.92875
32.76	101.64225
32.78	130.488
32.8	164.145
32.82	173.196
32.84	147.261
32.86	115.50375
32.88	96.72225
32.9	90.75375
32.92	88.1265
32.94	83.004
32.96	76.20225
32.98	64.39597
33	49.81245
33.02	38.1417
33.04	30.7095
33.06	26.72603
33.08	25.32345
33.1	26.04607
33.12	29.02357
33.14	34.62698
33.16	43.21928
33.18	55.51673
33.2	72.79088
33.22	96.17625
33.24	125.208
33.26	143.60325
33.28	129.5925
33.3	97.35375
33.32	70.09635
33.34	54.05062
33.36	47.58938
33.38	46.13632
33.4	42.92708
33.42	35.50643
33.44	27.24007
33.46	20.67922
33.48	16.2168
33.5	13.12207
33.52	11.28608
33.54	10.04287
33.56	9.19598
33.58	8.65335
33.6	8.31937
33.62	8.12768
33.64	8.15198
33.66	8.3748
33.68	8.8599
33.7	9.7335
33.72	11.19728
33.74	13.4754
33.76	16.60193
33.78	19.83788
33.8	21.98048
33.82	22.49018
33.84	23.04848
33.86	25.52737
33.88	29.6346
33.9	33.15263
33.92	34.35915
33.94	35.39198
33.96	37.86008
33.98	41.08035
34	46.2162
34.02	54.7905
34.04	66.83843
34.06	85.851
34.08	118.65675
34.1	166.8795
34.12	213.423
34.14	219.61575
34.16	186.48
34.18	153.13575
34.2	131.26425
34.22	108.8655
34.24	83.63325
34.26	63.08602
34.28	47.8041
34.3	36.33008
34.32	28.19393
34.34	22.81388
34.36	19.33965
34.38	17.09467
34.4	15.75525
34.42	15.06847
34.44	14.90865
34.46	15.37463
34.48	16.4589
34.5	18.4572
34.52	21.77003
34.54	27.43688
34.56	37.20855
34.58	53.73472
34.6	79.557
34.62	112.959
34.64	137.92425
34.66	132.7665
34.68	104.86275
34.7	73.84868
34.72	50.00835
34.74	34.5012
34.76	25.25205
34.78	19.7328
34.8	16.39718
34.82	14.24685
34.84	12.8649
34.86	12.05235
34.88	11.70412
34.9	11.90407
34.92	12.7425
34.94	14.47567
34.96	17.397
34.98	21.50843
35	25.7427
35.02	29.0901
35.04	33.16935
35.06	38.31255
35.08	40.22685
35.1	36.5358
35.12	32.1042
35.14	30.97313
35.16	34.1451
35.18	40.8804
35.2	47.3763
35.22	48.16012
35.24	46.01535
35.26	47.34045
35.28	54.84075
35.3	67.61947
35.32	81.33375
35.34	96.231
35.36	117.234
35.38	135.354
35.4	129.9135
35.42	107.29575
35.44	89.87175
35.46	85.86375
35.48	92.493
35.5	99.1365
35.52	93.3015
35.54	74.87085
35.56	55.1817
