MUV-21 simulated	
2 q(deg.)	Intenisty (a. u.)
29.84	10.1535
29.86	11.1015
29.88	13.1421
29.9	16.4938
29.92	20.6678
29.94	24.249
29.96	27.8446
29.98	34.6439
30	46.3699
30.02	60.2855
30.04	67.0642
30.06	61.1292
30.08	47.7482
30.1	34.6235
30.12	24.8363
30.14	18.4832
30.16	14.8341
30.18	13.063
30.2	12.6516
30.22	13.4876
30.24	15.8246
30.26	20.2248
30.28	27.0355
30.3	34.9905
30.32	40.6704
30.34	44.2419
30.36	47.9225
30.38	48.24
30.4	43.5957
30.42	39.6555
30.44	39.4412
30.46	39.3763
30.48	34.3765
30.5	26.5922
30.52	19.945
30.54	15.4855
30.56	12.9967
30.58	11.7915
30.6	11.1893
30.62	11.23
30.64	12.1206
30.66	13.379
30.68	14.1386
30.7	14.0541
30.72	12.8663
30.74	11.157
30.76	10.0428
30.78	10.0182
30.8	11.1277
30.82	13.4554
30.84	17.0176
30.86	20.8455
30.88	24.2961
30.9	26.1691
30.92	23.7417
30.94	18.5014
30.96	13.8198
30.98	10.9777
31	9.83972
31.02	9.88311
31.04	10.4213
31.06	10.9927
31.08	11.8792
31.1	13.159
31.12	14.7386
31.14	16.0589
31.16	15.286
31.18	12.6153
31.2	10.0477
31.22	8.34462
31.24	7.45644
31.26	7.23373
31.28	7.61163
31.3	8.66109
31.32	10.6785
31.34	14.2737
31.36	20.3224
31.38	29.4975
31.4	40.5197
31.42	47.1635
31.44	43.3171
31.46	33.5096
31.48	25.0288
31.5	20.0979
31.52	18.0074
31.54	17.6125
31.56	18.1907
31.58	19.3472
31.6	21.5147
31.62	25.7152
31.64	31.0316
31.66	33.6221
31.68	30.9826
31.7	25.8731
31.72	22.3302
31.74	21.9092
31.76	24.8627
31.78	30.9331
31.8	39.2763
31.82	49.55
31.84	58.1062
31.86	55.4772
31.88	42.6016
31.9	29.474
31.92	20.1482
31.94	14.3415
31.96	10.9381
31.98	8.95132
32	7.77709
32.02	7.10462
32.04	6.79593
32.06	6.82149
32.08	7.17523
32.1	7.9491
32.12	9.29531
32.14	11.5138
32.16	14.9297
32.18	19.5343
32.2	25.1619
32.22	32.0137
32.24	38.282
32.26	41.0529
32.28	38.2637
32.3	31.1938
32.32	24.7976
32.34	21.5163
32.36	21.7381
32.38	25.139
32.4	30.7425
32.42	37.7337
32.44	45.1979
32.46	47.301
32.48	40.666
32.5	31.9213
32.52	25.9553
32.54	22.8304
32.56	20.7839
32.58	19.5498
32.6	20.25
32.62	22.6106
32.64	23.7806
32.66	21.246
32.68	17.3948
32.7	14.8859
32.72	13.9702
32.74	13.4759
32.76	12.4291
32.78	11.18
32.8	10.0917
32.82	9.13123
32.84	8.68216
32.86	9.20987
32.88	10.9909
32.9	14.068
32.92	17.7027
32.94	19.6589
32.96	19.1349
32.98	17.7748
33	17.0169
33.02	17.5368
33.04	19.2168
33.06	20.8703
33.08	21.321
33.1	20.9992
33.12	21.3927
33.14	22.2962
33.16	21.9193
33.18	19.2298
33.2	15
33.22	11.0521
33.24	8.26645
33.26	6.50003
33.28	5.46659
33.3	4.99315
33.32	4.91452
33.34	4.9887
33.36	5.02394
33.38	5.00884
33.4	5.17605
33.42	5.60058
33.44	6.45681
33.46	8.15862
33.48	11.1312
33.5	15.4421
33.52	19.671
33.54	20.6349
33.56	18.3018
33.58	15.2404
33.6	12.1999
33.62	9.85791
33.64	8.83375
33.66	9.23963
33.68	10.8845
