EtOH	
2 q(deg.)	Intenisty (a. u.)
15.30594	2907
15.31907	2960
15.3322	2907
15.34533	3029
15.35846	2989
15.37159	3025
15.38472	2957
15.39785	2977
15.41098	2915
15.42411	2892
15.43724	3007
15.45037	2933
15.4635	3061
15.47664	2953
15.48977	3001
15.5029	2942
15.51603	2983
15.52916	2935
15.54229	3062
15.55542	3029
15.56855	2965
15.58168	3026
15.59481	3073
15.60794	2990
15.62107	3063
15.6342	3000
15.64733	3024
15.66046	2927
15.67359	2920
15.68672	3020
15.69985	3047
15.71298	3018
15.72611	2953
15.73924	2930
15.75237	2950
15.7655	2938
15.77863	2993
15.79176	3075
15.80489	3050
15.81802	3049
15.83115	2931
15.84428	3003
15.85741	2957
15.87054	3053
15.88367	3096
15.8968	2977
15.90993	3087
15.92306	2979
15.9362	3072
15.94933	3120
15.96246	3047
15.97559	3006
15.98872	3154
16.00185	3126
16.01498	3146
16.02811	3152
16.04124	3265
16.05437	3242
16.0675	3429
16.08063	3420
16.09376	3490
16.10689	3511
16.12002	3584
16.13315	3568
16.14628	3695
16.15941	3545
16.17254	3396
16.18567	3502
16.1988	3418
16.21193	3461
16.22506	3385
16.23819	3345
16.25132	3196
16.26445	3180
16.27758	3265
16.29071	3174
16.30384	3139
16.31697	3121
16.3301	3099
16.34323	3049
16.35636	3154
16.36949	3161
16.38262	3070
16.39575	3119
16.40889	3173
16.42202	3055
16.43515	3093
16.44828	3217
16.46141	3098
16.47454	3163
16.48767	3039
16.5008	3183
16.51393	3133
16.52706	3121
16.54019	3199
16.55332	3206
16.56645	3145
16.57958	3172
16.59271	3116
16.60584	3099
16.61897	3262
16.6321	3152
16.64523	3258
16.65836	3316
16.67149	3226
16.68462	3311
16.69775	3142
16.71088	3250
16.72401	3301
16.73714	3236
16.75027	3248
16.7634	3384
16.77653	3400
16.78966	3432
16.80279	3389
16.81592	3539
16.82905	3728
16.84218	3543
16.85531	3733
16.86845	3946
16.88158	3953
16.89471	4095
16.90784	4231
16.92097	4312
16.9341	4486
16.94723	4564
16.96036	4530
16.97349	4513
16.98662	4437
16.99975	4218
17.01288	4261
17.02601	4042
17.03914	3819
17.05227	3811
17.0654	3621
17.07853	3755
17.09166	3687
17.10479	3513
17.11792	3504
17.13105	3346
17.14418	3440
17.15731	3346
17.17044	3271
17.18357	3330
17.1967	3262
17.20983	3130
17.22296	3212
17.23609	3242
17.24922	3219
17.26235	3112
17.27548	3078
17.28861	3240
17.30174	3092
17.31487	3102
17.32801	3065
17.34114	3062
17.35427	3209
17.3674	3134
17.38053	3102
17.39366	3128
17.40679	3079
17.41992	3111
17.43305	3152
17.44618	3198
17.45931	3196
17.47244	3155
17.48557	3228
17.4987	3190
17.51183	3208
17.52496	3116
17.53809	3214
17.55122	3205
17.56435	3224
17.57748	3174
17.59061	3155
17.60374	3203
17.61687	3205
17.63	3093
17.64313	3186
17.65626	3146
17.66939	3047
17.68252	3239
17.69565	3164
17.70878	3140
17.72191	3282
17.73504	3300
17.74817	3298
17.7613	3188
17.77443	3278
17.78756	3235
17.8007	3248
17.81383	3184
17.82696	3248
17.84009	3204
17.85322	3083
17.86635	3187
17.87948	3122
17.89261	2983
17.90574	3173
17.91887	3158
17.932	3172
17.94513	3171
17.95826	3129
17.97139	3053
17.98452	3070
17.99765	3127
18.01078	3116
18.02391	3112
18.03704	3119
18.05017	3129
18.0633	3141
18.07643	3056
18.08956	3117
18.10269	3095
18.11582	3034
18.12895	2996
18.14208	3115
18.15521	3183
18.16834	3086
18.18147	3164
18.1946	3089
18.20773	3177
18.22086	3148
18.23399	3188
18.24712	3091
18.26026	3202
18.27339	3132
18.28652	3249
18.29965	3174
18.31278	3205
18.32591	3228
18.33904	3211
18.35217	3266
18.3653	3242
18.37843	3223
18.39156	3161
18.40469	3196
18.41782	3173
18.43095	3353
18.44408	3319
18.45721	3254
18.47034	3293
18.48347	3185
18.4966	3243
18.50973	3304
18.52286	3430
18.53599	3434
18.54912	3330
18.56225	3511
18.57538	3418
18.58851	3386
18.60164	3313
18.61477	3474
18.6279	3447
18.64103	3403
18.65416	3472
18.66729	3605
18.68042	3594
18.69355	3578
18.70668	3483
18.71981	3546
18.73295	3547
18.74608	3517
18.75921	3560
18.77234	3424
18.78547	3403
18.7986	3381
18.81173	3304
18.82486	3418
18.83799	3355
18.85112	3268
18.86425	3301
18.87738	3392
18.89051	3285
18.90364	3287
18.91677	3232
18.9299	3259
18.94303	3276
18.95616	3253
18.96929	3223
18.98242	3297
18.99555	3333
19.00868	3269
19.02181	3237
19.03494	3256
19.04807	3350
19.0612	3278
19.07433	3308
19.08746	3305
19.10059	3234
19.11372	3309
19.12685	3266
19.13998	3360
19.15311	3198
19.16624	3243
19.17937	3361
19.19251	3384
19.20564	3450
19.21877	3228
19.2319	3415
19.24503	3367
19.25816	3418
19.27129	3410
19.28442	3325
19.29755	3435
19.31068	3418
19.32381	3519
19.33694	3419
19.35007	3512
19.3632	3475
19.37633	3405
19.38946	3504
19.40259	3476
19.41572	3547
19.42885	3623
19.44198	3647
19.45511	3688
19.46824	3621
19.48137	3662
19.4945	3516
19.50763	3692
19.52076	3668
19.53389	3475
19.54702	3475
19.56015	3524
19.57328	3420
19.58641	3340
19.59954	3366
19.61267	3398
19.6258	3335
19.63893	3414
19.65207	3282
19.6652	3422
19.67833	3421
19.69146	3346
19.70459	3496
19.71772	3397
19.73085	3430
19.74398	3301
19.75711	3392
19.77024	3478
19.78337	3387
19.7965	3390
19.80963	3483
19.82276	3397
19.83589	3385
19.84902	3582
19.86215	3509
19.87528	3447
19.88841	3501
19.90154	3436
19.91467	3380
19.9278	3631
19.94093	3470
19.95406	3569
19.96719	3508
19.98032	3511
19.99345	3527
